TYPEHUQ,CDD65,CDD30YR,AIA_Zone,KOWNRENT,YEARMADE,YEARMADERANGE,NUMFLRS,ROOFTYPE,NAPTFLRS,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,SIZEOFGARAGE,GARGLOC,OVEN,OVENFUEL,OVENCLN,TYPECLN,OUTGRILL,FUELFOOD,NUMFRIG,SIZRFRI1,ICE,TYPERFR2,SIZRFRI2,REFRIGT2,MONRFRI2,SEPFREEZ,NUMFREEZ,UPRTFRZR,SIZFREEZ,FREEZER,DISHWASH,DWASHUSE,CWASHER,TOPFRONT,WASHLOAD,WASHTEMP,RNSETEMP,DRYER,DRYRFUEL,DRYRUSE,TVCOLOR,TVSIZE2,TVTYPE2,CABLESAT2,TVONWD2,TVONWE2,TVSIZE3,TVTYPE3,CABLESAT3,TVONWD3,TVONWE3,NUMPC,TIMEON2,PCPRINT,ELECDEV,FUELHEAT,HEATOTH,HEATROOM,NUMTHERM,FUELH2O,WHEATOTH,ZWHEATAGE,ZWHEATBKT,AIRCOND,DNTAC,CENACHP,MAINTAC,ACROOMS,USECENAC,THERMAINAC,PROTHERMAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,NUMCFAN,USECFAN,SWIMPOOL,POOL,LGT4,LGT1,NOUTLGTNT,WINDOWS,USENG,USELP,ELWARM,ELCOOL,ELWATER,ELFOOD,UGWARM,UGWATER,UGCOOK,LPOTHER,PELHEAT,PELHOTWA,PELCOOK,PELAC,PGASHEAT,PGASHTWA,PUGCOOK,SPOUSE,NHSLDMEM,AGEHHMEMCAT2,AGEHHMEMCAT3,MONEYPY,TOTSQFT,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,TOTALBTUCOL,TOTALBTURFG,TOTALBTUOTH,TOTALDOL,TOTALDOLCOL,TOTALDOLWTH,TOTALDOLRFG,TOTALDOLOTH,KAVALNG,PERIODNG,KWH
2,1080,1271,3,1,2004,7,0,5,0,20,4,1,5,9,1,2,2,0,0,1,1,1,5,2,4,1,21,4,2,12,0,0,0,0,0,1,13,1,2,2,3,3,1,5,1,4,3,4,1,2,2,3,3,0,3,2,2,3,1,1,5,0,9,2,5,0,0,0,1,0,0,1,9,3,1,1,74,78,73,3,3,0,0,2,2,0,41,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,4,8,1,23,5075,4675,3958,3958,1315,226.932,218.535,211.389,107.922,550.222,63006,10471,5171,26363,1315,219,211,108,550,0,0,18466
2,199,143,4,2,1998,6,0,2,0,31,3,2,1,4,1,2,3,0,0,1,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1,1,2,2,2,1,2,2,0,0,0,0,0,2,2,1,2,1,0,4,1,1,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,6,4,4,9,3136,2736,2736,2736,475,0.0,16.793,0.0,120.893,337.315,103460,621,4470,29653,1293,17,287,121,501,1,1,5148
5,505,829,2,2,1965,3,2,0,1,0,1,1,1,2,0,0,0,0,0,1,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,20,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,2,0,1,0,0,18,528,528,528,264,588,0.0,48.901,0.0,242.746,296.353,58716,629,3124,6781,1327,49,115,243,339,3,5,2218
2,672,868,2,1,1985,5,0,5,0,10,3,2,4,7,1,2,2,1,5,1,2,1,5,2,4,0,22,3,2,12,0,0,0,0,0,1,20,1,1,2,2,3,1,5,1,5,1,1,1,3,3,1,1,1,2,2,2,2,0,1,1,0,7,1,5,0,0,0,1,0,0,0,7,3,1,0,74,74,68,1,1,0,0,1,0,0,41,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,10,2023,1623,1623,1623,952,0.0,101.048,179.424,158.797,512.731,76401,3627,5700,20438,1398,101,179,159,534,3,5,10015
3,702,797,3,1,1983,5,0,5,0,20,2,1,3,5,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,1,30,1,1,2,2,3,1,5,1,2,3,2,1,1,1,0,0,0,0,0,2,1,1,1,1,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,20,1912,1912,1274,0,705,0.0,0.0,0.0,85.138,619.862,59809,0,1182,8607,1558,0,237,85,620,1,1,2869
2,270,436,1,1,1920,1,0,6,0,20,3,1,3,6,0,0,0,0,0,1,2,1,1,1,4,0,0,0,0,0,1,2,1,2,2,0,0,1,2,2,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,6,1,1,0,0,0,1,0,0,1,3,2,1,1,65,65,65,1,1,0,0,4,3,1,30,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,2,11,0,6,3485,3485,3485,1538,1050,0.0,45.132,0.0,151.319,853.549,114350,937,3141,21968,1906,45,131,151,893,1,1,6387
2,749,796,3,1,1922,1,0,6,0,20,4,2,3,7,0,0,0,0,0,1,2,1,1,2,3,0,22,4,2,12,0,0,0,0,0,1,20,1,2,3,2,3,1,1,1,4,3,4,0,2,3,1,2,0,2,1,2,1,2,3,1,0,7,3,1,0,0,0,1,0,0,0,7,3,1,1,75,80,75,5,3,0,0,4,3,2,50,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,4,11,4,24,2654,2654,2296,1938,2444,96.919,253.21,0.0,331.838,1762.032,150726,4179,5476,47783,4304,253,391,332,2077,1,1,11821
2,2647,2554,5,1,1975,4,0,6,0,10,3,2,3,6,1,2,2,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,1,5,1,2,1,2,0,1,1,0,0,0,0,0,2,5,1,1,5,0,6,1,5,0,0,0,1,0,1,0,6,3,1,1,75,85,75,5,1,0,0,0,1,0,20,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,6,8,4,16,2352,1952,1952,1952,2622,189.962,700.88,517.721,84.99,1128.303,78230,20913,2536,33666,2622,701,518,85,1128,0,0,22928
3,1027,912,3,1,1920,1,0,5,0,20,3,1,4,7,0,0,0,0,0,1,2,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,5,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,5,0,7,1,5,0,0,0,1,0,1,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,42,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,10,1635,1635,1117,1117,1240,435.353,54.482,189.749,212.389,348.027,52677,1369,5336,11458,1631,54,190,212,397,1,1,9130
2,1205,1467,3,1,1955,2,0,6,0,10,3,1,4,7,0,0,0,0,0,1,2,1,5,1,3,0,0,0,0,0,0,0,0,0,0,1,13,1,1,2,3,3,1,5,1,2,2,1,0,2,2,0,0,0,0,0,1,0,1,0,1,0,7,1,1,0,0,0,1,0,0,1,6,2,1,1,70,70,70,6,3,0,0,0,2,0,41,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,13,2390,2390,1365,1170,655,45.705,94.694,0.0,81.206,433.394,69166,3687,3162,16873,1388,95,191,81,433,1,1,7474
